titre,url,contenu,timecode-depart,video,type,caché
Perruche à collier,,,5:23,gare,son_oiseau,
Rougequeue noir,,,5:46,gare,son_oiseau,
Ronces,,,6:03,gare,evenement,
Pie bavarde,,,44:00,Athis Mons,son_oiseau,
Tourterelle turque,,,54:00,Athis Mons,son_oiseau,
Mésange bleue,,,3:36,Athis Mons,son_oiseau,
Moineau domestique,,,11:42,Athis Mons,son_oiseau,
Chardonneret élégant,,,12:11,Athis Mons,son_oiseau,
Moineau domestique,,,16:17,Athis Mons,son_oiseau,
Tourterelle turque,,,18:44,Athis Mons,son_oiseau,
Pie bavarde,,,20:00,Athis Mons,son_oiseau,
Corneille noire,,,20:11,Athis Mons,son_oiseau,
Pie bavarde,,,20:18,Athis Mons,son_oiseau,
Tourterelle turque,,,21:28,Athis Mons,son_oiseau,
Chat,,,31:16,Athis Mons,evenement,
Perruche à collier,,,36:08,Athis Mons,son_oiseau,
Pouillot véloce,,,36:11,Athis Mons,son_oiseau,
Tourterelles turques,,,36:23,Athis Mons,son_oiseau,
Pigeon ramier,,,36:33,Athis Mons,son_oiseau,
Perruche à collier,,,37:04,Athis Mons,son_oiseau,
Pigeon ramier,,,37:24,Athis Mons,son_oiseau,
Perruche à collier,,,37:35,Athis Mons,son_oiseau,
Grimpereau des jardins,,,37:49,Athis Mons,son_oiseau,
Tourterelle turque,,,38:05,Athis Mons,son_oiseau,
Perruche à collier,,,39:47,Athis Mons,son_oiseau,
Orite à longue queue,,,40:05,Athis Mons,son_oiseau,
Fauvette à tête noire,,,41:44,Athis Mons,son_oiseau,
Tourterelle turque,,,41:55,Athis Mons,son_oiseau,
Fauvette à tête noire,,,42:05,Athis Mons,son_oiseau,
Accenteur mouchet,,,42:23,Athis Mons,son_oiseau,
Tourterelle turque,,,42:27,Athis Mons,son_oiseau,
Mésange bleue,,,42:40,Athis Mons,son_oiseau,
Canard colvert,,,43:36,Athis Mons,evenement,
Accentuer mouchet,,,43:56,Athis Mons,son_oiseau,
Accenteur mouchet,,,44:13,Athis Mons,son_oiseau,
Tourterelle turque,,,44:22,Athis Mons,son_oiseau,
Pigeon ramier,,,44:25,Athis Mons,son_oiseau,
Corneille noire,,,44:30,Athis Mons,son_oiseau,
Gallinule poule d’eau,,,44:35,Athis Mons,son_oiseau,
Corbeau freux,,,45:06,Athis Mons,son_oiseau,
Canard colvert,,,45:44,Athis Mons,evenement,
Gallinule poule d’eau,,,48:22,Athis Mons,evenement,
Mésange bleue,,,48:31,Athis Mons,son_oiseau,
Moineau domestique,,,48:47,Athis Mons,evenement,
Tourterelle turque,,,48:57,Athis Mons,son_oiseau,
Canards,,,48:59,Athis Mons,evenement,
Mésange à longue queue,,,49:09,Athis Mons,son_oiseau,
Mésange bleue,,,49:44,Athis Mons,son_oiseau,
Chien,,,50:08,Athis Mons,evenement,
Moineau domestique,,,50:21,Athis Mons,evenement,
Souches d’érables sycomores,,,50:52,Athis Mons,evenement,
Pigeon ramier,,,51:23,Athis Mons,son_oiseau,
Moineau domestique,,,51:47,Athis Mons,son_oiseau,
Gallinule poule d’eau,,,51:56,Athis Mons,son_oiseau,
Gallinule poule d’eau,,,52:10,Athis Mons,evenement,
Canards colverts,,,52:38,Athis Mons,evenement,
Pigeon ramier,,,52:39,Athis Mons,son_oiseau,
Corneille noire,,,53:20,Athis Mons,son_oiseau,
Étourneau sansonnet,,,54:23,Athis Mons,son_oiseau,
Pie bavarde,,,57:36,Athis Mons,evenement,
